Hero Name,Role,Win Rate (%),Popularity (%),Ban Rate (%),Scaling Rating,Recommended Lane,Second Lane,Cooldown Rating,Item Dependency Rating,Mobility Rating,Crowd Control Rating,Base Stats Growth Rating,Ultimate Impact Rating_All Game Phases,Ultimate Impact Rating_Early Game,Ultimate Impact Rating_Late Game,Ultimate Impact Rating_Mid Game,Ultimate Impact Rating_Support,Strength Rating (%)
Badang,Fighter,52.24,2.68,23.6,1,0,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,77.83
Cecilion,Mage,50.0,2.84,4.34,1,3,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,76.83
Granger,Marksman,43.91,3.31,20.91,0,2,4,1,0,1,1,1,0.0,0.0,1.0,0.0,0.0,71.36
Lukas,Fighter,52.42,2.04,70.05,1,0,1,1,1,1,0,1,0.0,0.0,0.0,1.0,0.0,71.13
Selena,Assassin/Mage,49.21,2.85,39.65,1,3,1,0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,70.23
Cici,Fighter,50.64,1.82,1.91,1,0,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,66.58
Gatotkaca,Tank/Fighter,52.56,1.76,1.06,1,4,0,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,66.47
Phoveus,Fighter,52.84,1.68,5.31,1,0,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,66.18
Kimmy,Marksman/Mage,47.56,1.64,12.28,1,1,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,64.9
Xavier,Mage,52.97,1.58,0.28,1,3,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,64.72
Fredrinn,Fighter/Tank,52.82,1.27,6.59,1,2,4,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,64.2
Julian,Fighter/Mage,51.35,1.43,13.91,1,2,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,64.1
Floryn,Support,58.82,1.43,82.78,1,4,4,1,1,1,0,0,0.0,0.0,0.0,0.0,1.0,63.22
Angela,Support,51.48,2.21,4.54,1,4,4,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,63.0
Novaria,Mage,51.18,1.24,0.7,1,3,4,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,62.82
Kalea,Tank/Fighter,55.77,0.79,97.54,1,4,0,1,1,1,0,1,0.0,0.0,1.0,0.0,0.0,62.39
Mathilda,Support/Assassin,51.69,1.8,30.71,1,4,4,0,1,0,1,1,1.0,0.0,0.0,0.0,0.0,61.58
Irithel,Marksman,56.47,2.09,1.81,0,1,4,1,0,1,1,1,0.0,0.0,1.0,0.0,0.0,61.02
